failure_id,equipment_id,failure_date,failure_type,severity,description,root_cause,downtime_hours,repair_cost,prevented_by_maintenance,created_at
51,TRC-168,2012-09-01,Belt,Minor,Belt tensioner failure,Normal wear,3.6,265.99,False,2025-11-02 19:53:25
52,PLT-032,2012-09-07,Electrical,Moderate,Wiring harness damage - Reduced operational capability,Worn component,12.1,1228.75,True,2025-11-02 19:53:25
53,TRC-123,2012-09-10,Mechanical,Moderate,Drive shaft damage - Reduced operational capability,Overload,20.3,1486.92,False,2025-11-02 19:53:25
54,TRC-072,2012-09-12,Hydraulic,Minor,Hydraulic valve malfunction,Pressure spike,5.8,450.92,True,2025-11-02 19:53:25
55,TRC-114,2012-10-05,Hydraulic,Minor,Hydraulic cylinder leak,Seal failure,3.5,262.37,True,2025-11-02 19:53:25
56,TRC-007,2012-10-15,Hydraulic,Moderate,Loss of hydraulic pressure - Reduced operational capability,Pressure spike,23.1,646.63,True,2025-11-02 19:53:25
57,HRV-055,2012-10-25,Engine,Minor,Loss of power under load,Worn component,3.0,278.78,True,2025-11-02 19:53:25
58,IRR-009,2012-10-29,Mechanical,Moderate,Drive shaft damage - Reduced operational capability,Lack of lubrication,12.3,1948.88,False,2025-11-02 19:53:25
59,IRR-017,2012-11-16,Tire,Moderate,Tire blowout - Reduced operational capability,Improper inflation,13.3,1919.51,True,2025-11-02 19:53:25
60,HRV-030,2012-11-21,Engine,Moderate,Excessive smoke from exhaust - Reduced operational capability,Overheating,8.7,749.66,True,2025-11-02 19:53:25
61,TRC-066,2012-11-28,Other,Minor,Cab door malfunction,Normal wear,5.0,211.16,False,2025-11-02 19:53:25
62,TRC-114,2012-12-08,Tire,Moderate,Tire blowout - Reduced operational capability,Overload,11.7,1120.37,False,2025-11-02 19:53:25
63,IRR-009,2012-12-08,Engine,Moderate,Loss of power under load - Reduced operational capability,Age-related wear,11.9,865.72,False,2025-11-02 19:53:25
64,TRC-004,2013-01-13,Hydraulic,Minor,Hydraulic cylinder leak,Worn hose,4.9,458.52,False,2025-11-02 19:53:25
65,TRC-021,2013-02-10,Mechanical,Moderate,Drive shaft damage - Reduced operational capability,Lack of lubrication,6.6,529.63,False,2025-11-02 19:53:25
66,HRV-041,2013-02-28,Mechanical,Minor,Gearbox malfunction,Overload,4.3,345.19,True,2025-11-02 19:53:25
67,IRR-067,2013-03-01,Hydraulic,Critical,Hydraulic fluid contamination - Complete equipment shutdown,Exceeded service life,41.5,6677.83,True,2025-11-02 19:53:25
68,TRC-068,2013-03-12,Electrical,Minor,Wiring harness damage,Water damage,3.5,283.47,False,2025-11-02 19:53:25
69,TRC-126,2013-03-13,Other,Moderate,Gauge malfunction - Reduced operational capability,Age-related,10.7,1988.35,False,2025-11-02 19:53:25
70,IRR-043,2013-03-23,Mechanical,Minor,Transmission gear failure,Fatigue failure,5.5,258.19,False,2025-11-02 19:53:25
71,TRC-004,2013-03-23,Other,Critical,Gauge malfunction - Complete equipment shutdown,Environmental factors,81.1,9754.46,False,2025-11-02 19:53:25
72,PLT-032,2013-03-27,Hydraulic,Minor,Hydraulic cylinder leak,Pressure spike,2.5,403.12,True,2025-11-02 19:53:25
73,IRR-027,2013-04-09,Hydraulic,Moderate,Hydraulic cylinder leak - Reduced operational capability,Pressure spike,13.9,709.27,True,2025-11-02 19:53:25
74,HRV-055,2013-05-04,Electrical,Minor,Electrical short circuit,Water damage,4.3,231.02,False,2025-11-02 19:53:25
75,IRR-045,2013-05-10,Tire,Moderate,Tire puncture - Reduced operational capability,Road hazard,10.1,707.64,True,2025-11-02 19:53:25
76,IRR-043,2013-05-17,Hydraulic,Moderate,Hydraulic pump failure - Reduced operational capability,Exceeded service life,16.2,1376.53,True,2025-11-02 19:53:25
77,HRV-030,2013-05-20,Belt,Minor,Drive belt snapped,Overload,3.5,324.2,False,2025-11-02 19:53:25
78,TRC-066,2013-05-20,Tire,Moderate,Tire puncture - Reduced operational capability,Age degradation,11.6,1630.2,True,2025-11-02 19:53:25
79,TRC-074,2013-06-01,Engine,Minor,Fuel system malfunction,Contaminated fuel,6.0,401.2,True,2025-11-02 19:53:25
80,PLT-032,2013-06-09,Mechanical,Moderate,Transmission gear failure - Reduced operational capability,Fatigue failure,18.3,1975.57,False,2025-11-02 19:53:25
81,TRC-180,2013-06-15,Engine,Minor,Excessive smoke from exhaust,Overheating,4.5,407.98,False,2025-11-02 19:53:25
82,IRR-067,2013-06-22,Other,Critical,Seat adjustment failure - Complete equipment shutdown,Accidental damage,38.5,6257.92,True,2025-11-02 19:53:25
83,TRC-168,2013-06-23,Engine,Minor,Engine oil leak detected,Worn component,4.1,487.23,False,2025-11-02 19:53:25
84,IRR-017,2013-06-26,Electrical,Minor,Battery failure,Corroded connection,5.4,205.73,True,2025-11-02 19:53:25
85,TRC-074,2013-06-27,Tire,Moderate,Tire blowout - Reduced operational capability,Road hazard,6.4,1427.57,True,2025-11-02 19:53:25
86,SPR-020,2013-07-03,Engine,Minor,Fuel system malfunction,Contaminated fuel,4.9,390.03,True,2025-11-02 19:53:25
87,TRC-004,2013-07-12,Belt,Moderate,Excessive belt wear - Reduced operational capability,Improper tension,15.0,694.56,False,2025-11-02 19:53:25
88,TRC-074,2013-07-12,Electrical,Critical,Sensor malfunction - Complete equipment shutdown,Age-related failure,70.1,5763.58,True,2025-11-02 19:53:25
89,TRC-180,2013-07-15,Engine,Minor,Engine overheating during operation,Overheating,5.3,308.28,True,2025-11-02 19:53:25
90,IRR-067,2013-08-11,Engine,Critical,Fuel system malfunction - Complete equipment shutdown,Overheating,117.5,8072.24,True,2025-11-02 19:53:25
91,IRR-014,2013-08-15,Engine,Moderate,Engine overheating during operation - Reduced operational capability,Lack of maintenance,12.5,731.68,True,2025-11-02 19:53:25
92,TRC-072,2013-08-20,Engine,Minor,Excessive smoke from exhaust,Worn component,3.6,206.51,False,2025-11-02 19:53:25
93,TRC-032,2013-09-01,Tire,Minor,Tire blowout,Age degradation,5.9,300.25,True,2025-11-02 19:53:25
94,TRC-032,2013-09-11,Hydraulic,Critical,Loss of hydraulic pressure - Complete equipment shutdown,Seal failure,88.5,6260.81,False,2025-11-02 19:53:25
95,IRR-075,2013-10-02,Engine,Minor,Engine overheating during operation,Contaminated fuel,4.2,436.61,False,2025-11-02 19:53:25
96,TRC-180,2013-10-04,Tire,Minor,Wheel bearing failure,Road hazard,3.9,487.56,False,2025-11-02 19:53:25
97,PLT-004,2013-10-05,Engine,Moderate,Engine stalling intermittently - Reduced operational capability,Overheating,9.4,1128.68,True,2025-11-02 19:53:25
98,PLT-042,2013-11-06,Hydraulic,Minor,Hydraulic fluid contamination,Exceeded service life,2.5,418.41,True,2025-11-02 19:53:25
99,SPR-011,2013-11-20,Belt,Minor,Drive belt snapped,Improper tension,4.0,428.75,True,2025-11-02 19:53:25
100,IRR-067,2013-12-05,Mechanical,Moderate,Bearing failure causing noise - Reduced operational capability,Normal wear,18.5,1795.04,False,2025-11-02 19:53:25
101,IRR-027,2013-12-15,Hydraulic,Minor,Hydraulic valve malfunction,Exceeded service life,3.5,401.93,True,2025-11-02 19:53:25
102,PLT-032,2013-12-27,Belt,Minor,Excessive belt wear,Age degradation,3.6,494.95,False,2025-11-02 19:53:25
103,HRV-055,2014-02-03,Hydraulic,Moderate,Hydraulic fluid contamination - Reduced operational capability,Contaminated fluid,9.9,774.2,True,2025-11-02 19:53:25
104,IRR-017,2014-02-05,Engine,Minor,Loss of power under load,Worn component,4.0,242.53,True,2025-11-02 19:53:25
105,TRC-021,2014-03-04,Hydraulic,Moderate,Hydraulic fluid contamination - Reduced operational capability,Exceeded service life,20.6,1960.27,True,2025-11-02 19:53:25
106,IRR-067,2014-03-09,Engine,Minor,Engine oil leak detected,Contaminated fuel,4.4,321.5,True,2025-11-02 19:53:25
107,IRR-013,2014-03-14,Other,Moderate,Gauge malfunction - Reduced operational capability,Operator error,11.1,546.75,True,2025-11-02 19:53:25
108,IRR-013,2014-03-23,Hydraulic,Moderate,Hydraulic fluid contamination - Reduced operational capability,Pressure spike,18.3,1904.04,True,2025-11-02 19:53:25
109,TRC-107,2014-03-24,Hydraulic,Moderate,Hydraulic hose burst during operation - Reduced operational capability,Seal failure,18.9,502.69,True,2025-11-02 19:53:25
110,SPR-020,2014-04-14,Hydraulic,Minor,Hydraulic cylinder leak,Pressure spike,3.1,280.54,True,2025-11-02 19:53:25
111,IRR-045,2014-04-19,Engine,Minor,Engine overheating during operation,Age-related wear,4.6,460.74,True,2025-11-02 19:53:25
112,HRV-024,2014-05-02,Electrical,Minor,Alternator not charging,Water damage,2.7,359.03,True,2025-11-02 19:53:25
113,IRR-009,2014-05-18,Hydraulic,Moderate,Hydraulic cylinder leak - Reduced operational capability,Worn hose,13.7,1607.56,True,2025-11-02 19:53:25
114,IRR-075,2014-05-26,Engine,Critical,Excessive smoke from exhaust - Complete equipment shutdown,Age-related wear,85.9,6656.85,False,2025-11-02 19:53:25
115,TRC-032,2014-06-01,Hydraulic,Minor,Hydraulic hose burst during operation,Contaminated fluid,5.9,239.78,False,2025-11-02 19:53:25
116,SPR-030,2014-06-23,Hydraulic,Minor,Hydraulic valve malfunction,Pressure spike,5.6,234.71,False,2025-11-02 19:53:25
117,TRC-066,2014-06-26,Hydraulic,Moderate,Hydraulic pump failure - Reduced operational capability,Pressure spike,23.1,1447.52,False,2025-11-02 19:53:25
118,TRC-068,2014-07-02,Mechanical,Moderate,Drive shaft damage - Reduced operational capability,Overload,21.7,1839.34,False,2025-11-02 19:53:25
119,SPR-011,2014-07-04,Tire,Minor,Tire sidewall damage,Overload,4.6,415.24,True,2025-11-02 19:53:25
120,IRR-014,2014-07-07,Engine,Moderate,Loss of power under load - Reduced operational capability,Contaminated fuel,12.2,1594.32,True,2025-11-02 19:53:25
121,TRC-072,2014-07-16,Tire,Moderate,Tire puncture - Reduced operational capability,Excessive wear,20.4,1697.34,False,2025-11-02 19:53:25
122,SPR-026,2014-07-16,Tire,Minor,Excessive tire wear,Excessive wear,4.7,257.92,True,2025-11-02 19:53:25
123,TRC-180,2014-07-20,Electrical,Minor,Starter motor failure,Worn component,3.8,423.36,True,2025-11-02 19:53:25
124,TRC-167,2014-07-21,Tire,Minor,Tire sidewall damage,Road hazard,4.1,478.5,False,2025-11-02 19:53:25
125,TRC-142,2014-07-23,Electrical,Minor,Wiring harness damage,Age-related failure,3.9,361.0,False,2025-11-02 19:53:25
126,IRR-009,2014-07-25,Mechanical,Minor,Bearing failure causing noise,Normal wear,3.6,307.57,False,2025-11-02 19:53:25
127,TRC-114,2014-08-02,Mechanical,Moderate,Clutch failure - Reduced operational capability,Misalignment,11.5,860.7,False,2025-11-02 19:53:25
128,IRR-067,2014-08-06,Hydraulic,Moderate,Hydraulic pump failure - Reduced operational capability,Pressure spike,22.6,870.94,False,2025-11-02 19:53:25
129,IRR-009,2014-08-20,Mechanical,Minor,Clutch failure,Overload,4.5,353.39,True,2025-11-02 19:53:25
130,TRC-068,2014-08-21,Hydraulic,Minor,Loss of hydraulic pressure,Exceeded service life,5.7,301.18,True,2025-11-02 19:53:25
131,TRC-065,2014-08-28,Mechanical,Moderate,Transmission gear failure - Reduced operational capability,Overload,21.7,1228.26,False,2025-11-02 19:53:25
132,TRC-107,2014-08-29,Electrical,Minor,Wiring harness damage,Vibration damage,3.0,416.39,True,2025-11-02 19:53:25
133,PLT-007,2014-09-02,Tire,Minor,Tire blowout,Age degradation,3.4,209.54,True,2025-11-02 19:53:25
134,TRC-066,2014-09-10,Engine,Minor,Engine overheating during operation,Age-related wear,3.4,243.75,True,2025-11-02 19:53:25
135,IRR-072,2014-09-17,Mechanical,Minor,Gearbox malfunction,Normal wear,4.6,215.71,False,2025-11-02 19:53:25
136,IRR-072,2014-10-04,Electrical,Moderate,Starter motor failure - Reduced operational capability,Corroded connection,7.4,1561.51,True,2025-11-02 19:53:25
137,HRV-046,2014-10-06,Engine,Minor,Fuel system malfunction,Contaminated fuel,2.4,451.19,False,2025-11-02 19:53:25
138,HRV-030,2014-10-10,Engine,Critical,Engine oil leak detected - Complete equipment shutdown,Overheating,118.4,2455.77,True,2025-11-02 19:53:25
139,IRR-075,2014-10-10,Hydraulic,Moderate,Loss of hydraulic pressure - Reduced operational capability,Seal failure,22.1,1208.71,True,2025-11-02 19:53:25
140,TRC-146,2014-10-11,Hydraulic,Moderate,Hydraulic pump failure - Reduced operational capability,Exceeded service life,22.6,1820.86,True,2025-11-02 19:53:25
141,IRR-075,2014-10-20,Mechanical,Minor,Bearing failure causing noise,Misalignment,2.1,454.04,False,2025-11-02 19:53:25
142,PLT-032,2014-10-24,Belt,Minor,Belt tensioner failure,Normal wear,3.0,345.07,True,2025-11-02 19:53:25
143,IRR-072,2014-10-25,Hydraulic,Moderate,Hydraulic fluid contamination - Reduced operational capability,Contaminated fluid,19.9,858.16,False,2025-11-02 19:53:25
144,HRV-041,2014-10-30,Electrical,Minor,Alternator not charging,Water damage,5.9,349.1,True,2025-11-02 19:53:25
145,IRR-014,2014-11-01,Electrical,Minor,Battery failure,Worn component,4.2,440.78,False,2025-11-02 19:53:25
146,TRC-168,2014-11-09,Tire,Minor,Excessive tire wear,Improper inflation,2.3,494.52,True,2025-11-02 19:53:25
147,SPR-032,2014-11-16,Hydraulic,Minor,Hydraulic pump failure,Worn hose,4.9,360.35,False,2025-11-02 19:53:25
148,TRC-083,2014-11-20,Other,Minor,Seat adjustment failure,Environmental factors,4.5,436.1,True,2025-11-02 19:53:25
149,SPR-011,2014-11-27,Hydraulic,Moderate,Hydraulic hose burst during operation - Reduced operational capability,Pressure spike,20.7,1515.08,True,2025-11-02 19:53:25
150,TRC-072,2014-11-29,Tire,Minor,Excessive tire wear,Improper inflation,4.7,203.18,True,2025-11-02 19:53:25
151,IRR-057,2014-12-30,Engine,Minor,Excessive smoke from exhaust,Age-related wear,5.1,433.2,True,2025-11-02 19:53:25
152,IRR-033,2015-01-03,Electrical,Moderate,Battery failure - Reduced operational capability,Worn component,16.8,1171.75,False,2025-11-02 19:53:25
153,HRV-023,2015-01-14,Engine,Minor,Excessive smoke from exhaust,Contaminated fuel,3.7,226.35,True,2025-11-02 19:53:25
154,HRV-030,2015-01-19,Hydraulic,Moderate,Hydraulic hose burst during operation - Reduced operational capability,Worn hose,6.1,1790.22,True,2025-11-02 19:53:25
155,IRR-020,2015-01-21,Electrical,Moderate,Electrical short circuit - Reduced operational capability,Vibration damage,15.5,622.51,False,2025-11-02 19:53:25
156,IRR-009,2015-02-01,Engine,Moderate,Loss of power under load - Reduced operational capability,Contaminated fuel,18.0,1529.65,True,2025-11-02 19:53:25
157,SPR-032,2015-02-24,Mechanical,Moderate,Drive shaft damage - Reduced operational capability,Normal wear,9.5,1394.89,False,2025-11-02 19:53:25
158,TRC-136,2015-02-24,Other,Critical,Mirror damage - Complete equipment shutdown,Operator error,87.3,5738.86,False,2025-11-02 19:53:25
159,TRC-180,2015-02-27,Belt,Minor,Belt tensioner failure,Normal wear,2.9,245.59,True,2025-11-02 19:53:25
160,PLT-042,2015-03-04,Tire,Minor,Wheel bearing failure,Excessive wear,2.7,200.56,False,2025-11-02 19:53:25
161,HRV-032,2015-03-04,Engine,Moderate,Engine stalling intermittently - Reduced operational capability,Worn component,9.0,1006.36,False,2025-11-02 19:53:25
162,PLT-015,2015-03-15,Tire,Minor,Tire blowout,Road hazard,2.7,209.23,True,2025-11-02 19:53:25
163,TRC-008,2015-03-15,Hydraulic,Minor,Hydraulic fluid contamination,Seal failure,2.0,201.07,True,2025-11-02 19:53:25
164,PLT-004,2015-03-18,Tire,Moderate,Tire sidewall damage - Reduced operational capability,Road hazard,17.9,1837.29,False,2025-11-02 19:53:25
165,IRR-027,2015-03-30,Engine,Critical,Loss of power under load - Complete equipment shutdown,Contaminated fuel,26.3,5356.84,True,2025-11-02 19:53:25
166,IRR-033,2015-04-01,Engine,Moderate,Fuel system malfunction - Reduced operational capability,Overheating,18.8,1211.98,True,2025-11-02 19:53:25
167,HRV-060,2015-04-01,Hydraulic,Moderate,Loss of hydraulic pressure - Reduced operational capability,Contaminated fluid,18.0,1039.5,True,2025-11-02 19:53:25
168,TRC-083,2015-04-14,Tire,Minor,Tire blowout,Age degradation,5.1,234.58,False,2025-11-02 19:53:25
169,IRR-031,2015-04-18,Engine,Minor,Excessive smoke from exhaust,Age-related wear,4.7,453.58,True,2025-11-02 19:53:25
170,HRV-024,2015-04-19,Tire,Minor,Excessive tire wear,Improper inflation,4.7,444.75,False,2025-11-02 19:53:25
171,TRC-178,2015-04-23,Hydraulic,Moderate,Hydraulic valve malfunction - Reduced operational capability,Seal failure,7.7,1705.69,False,2025-11-02 19:53:25
172,TRC-107,2015-04-25,Belt,Critical,Belt tensioner failure - Complete equipment shutdown,Overload,65.9,8774.55,True,2025-11-02 19:53:25
173,IRR-045,2015-04-25,Engine,Moderate,Engine oil leak detected - Reduced operational capability,Overheating,9.1,1375.86,True,2025-11-02 19:53:25
174,TRC-167,2015-04-26,Electrical,Minor,Alternator not charging,Water damage,4.2,454.08,True,2025-11-02 19:53:25
175,TRC-021,2015-04-27,Hydraulic,Minor,Loss of hydraulic pressure,Exceeded service life,3.2,384.64,False,2025-11-02 19:53:25
176,IRR-004,2015-04-28,Hydraulic,Minor,Hydraulic pump failure,Exceeded service life,3.5,388.83,True,2025-11-02 19:53:25
177,SPR-026,2015-04-29,Belt,Minor,Belt slipping under load,Age degradation,4.2,219.13,True,2025-11-02 19:53:25
178,IRR-057,2015-04-29,Mechanical,Minor,Drive shaft damage,Fatigue failure,4.2,440.38,False,2025-11-02 19:53:25
179,TRC-021,2015-05-01,Hydraulic,Moderate,Hydraulic fluid contamination - Reduced operational capability,Worn hose,20.7,819.62,True,2025-11-02 19:53:25
180,TRC-008,2015-05-06,Engine,Minor,Fuel system malfunction,Contaminated fuel,5.3,369.71,True,2025-11-02 19:53:25
181,HRV-060,2015-05-06,Mechanical,Minor,Clutch failure,Normal wear,2.2,296.58,False,2025-11-02 19:53:25
182,PLT-032,2015-05-16,Engine,Minor,Engine stalling intermittently,Contaminated fuel,2.3,339.14,False,2025-11-02 19:53:25
183,TRC-149,2015-05-19,Hydraulic,Minor,Hydraulic hose burst during operation,Contaminated fluid,2.1,289.08,True,2025-11-02 19:53:25
184,IRR-004,2015-05-23,Engine,Minor,Engine overheating during operation,Lack of maintenance,4.0,465.65,True,2025-11-02 19:53:25
185,IRR-003,2015-05-24,Tire,Minor,Tire blowout,Excessive wear,5.1,499.43,True,2025-11-02 19:53:25
186,TRC-168,2015-05-25,Mechanical,Moderate,Drive shaft damage - Reduced operational capability,Overload,23.1,958.45,False,2025-11-02 19:53:25
187,TRC-072,2015-05-30,Hydraulic,Moderate,Hydraulic hose burst during operation - Reduced operational capability,Worn hose,7.6,1740.69,False,2025-11-02 19:53:25
188,IRR-027,2015-06-03,Hydraulic,Minor,Hydraulic valve malfunction,Seal failure,2.3,277.22,True,2025-11-02 19:53:25
189,TRC-068,2015-06-09,Mechanical,Moderate,Mechanical linkage broken - Reduced operational capability,Normal wear,21.1,921.45,False,2025-11-02 19:53:25
190,IRR-067,2015-06-11,Tire,Minor,Wheel bearing failure,Road hazard,5.6,455.96,True,2025-11-02 19:53:25
191,IRR-072,2015-06-11,Hydraulic,Minor,Loss of hydraulic pressure,Worn hose,4.3,437.46,True,2025-11-02 19:53:25
192,IRR-077,2015-06-14,Mechanical,Minor,Transmission gear failure,Lack of lubrication,3.8,266.21,False,2025-11-02 19:53:25
193,IRR-067,2015-06-17,Engine,Moderate,Loss of power under load - Reduced operational capability,Age-related wear,14.7,1218.11,False,2025-11-02 19:53:25
194,IRR-059,2015-06-19,Other,Moderate,Light fixture broken - Reduced operational capability,Age-related,19.3,1683.48,False,2025-11-02 19:53:25
195,SPR-011,2015-06-26,Hydraulic,Critical,Loss of hydraulic pressure - Complete equipment shutdown,Worn hose,50.8,2802.4,True,2025-11-02 19:53:25
196,IRR-031,2015-06-27,Engine,Moderate,Engine stalling intermittently - Reduced operational capability,Lack of maintenance,14.3,1334.32,False,2025-11-02 19:53:25
197,TRC-114,2015-07-11,Tire,Minor,Tire sidewall damage,Overload,3.6,436.8,True,2025-11-02 19:53:25
198,IRR-020,2015-07-12,Engine,Moderate,Engine stalling intermittently - Reduced operational capability,Overheating,8.7,1076.67,False,2025-11-02 19:53:25
199,TRC-055,2015-07-12,Electrical,Minor,Wiring harness damage,Vibration damage,5.9,392.18,True,2025-11-02 19:53:25
200,SPR-005,2015-07-14,Engine,Minor,Fuel system malfunction,Lack of maintenance,3.0,364.78,False,2025-11-02 19:53:25
201,IRR-067,2015-07-16,Electrical,Minor,Alternator not charging,Corroded connection,4.5,243.83,False,2025-11-02 19:53:25
202,TRC-065,2015-07-21,Engine,Critical,Engine overheating during operation - Complete equipment shutdown,Contaminated fuel,72.4,9738.46,True,2025-11-02 19:53:25
